Node ID, Distance (m), Lat, Lon
240949599, 0.00, 41.38334, 2.18177 
240950216, 13.51, 41.38327, 2.18190 
240967258, 25.89, 41.38337, 2.18198 
240967260, 30.26, 41.38337, 2.18203 
30884392, 36.37, 41.38341, 2.18207 
240969119, 62.43, 41.38362, 2.18222 
240969362, 94.67, 41.38388, 2.18239 
240969019, 106.80, 41.38398, 2.18245 
240971784, 118.94, 41.38408, 2.18240 
240971785, 122.47, 41.38411, 2.18238 
240971786, 127.20, 41.38414, 2.18234 
30238425, 140.89, 41.38426, 2.18238 
216362521, 144.31, 41.38429, 2.18239 
240971787, 155.18, 41.38438, 2.18245 
240975750, 220.86, 41.38490, 2.18281 
30297720, 232.98, 41.38500, 2.18287 
240976231, 244.91, 41.38510, 2.18292 
243347239, 339.11, 41.38583, 2.18236 
1437368415, 351.30, 41.38593, 2.18229 
533662899, 384.75, 41.38619, 2.18209 
240978204, 418.00, 41.38646, 2.18191 
30244000, 452.57, 41.38670, 2.18217 
243347133, 567.16, 41.38742, 2.18315 
243347086, 663.36, 41.38803, 2.18233 
243336863, 673.52, 41.38809, 2.18242 
243336865, 682.91, 41.38815, 2.18250 
243047501, 691.64, 41.38821, 2.18257 
319629479, 707.13, 41.38810, 2.18269 
506131387, 811.58, 41.38877, 2.18357 
506131391, 816.27, 41.38880, 2.18353 
506131392, 821.44, 41.38883, 2.18358 
506131390, 827.04, 41.38887, 2.18363 
506131388, 831.62, 41.38884, 2.18366 
319629443, 1211.86, 41.39126, 2.18688 
319608836, 1234.41, 41.39143, 2.18673 
319608781, 1405.86, 41.39297, 2.18674 
30242971, 1422.09, 41.39309, 2.18684 
243339102, 1439.61, 41.39316, 2.18703 
797497272, 1466.68, 41.39341, 2.18702 
797497273, 1541.63, 41.39408, 2.18704 
797497275, 1579.23, 41.39442, 2.18704 
797407445, 1595.64, 41.39457, 2.18704 
797407425, 1598.44, 41.39458, 2.18707 
797407447, 1606.34, 41.39462, 2.18715 
797407449, 1611.34, 41.39466, 2.18718 
797407451, 1613.67, 41.39467, 2.18720 
797407453, 1621.78, 41.39475, 2.18722 
797407455, 1629.10, 41.39481, 2.18720 
797407456, 1633.37, 41.39485, 2.18718 
797407432, 1638.62, 41.39488, 2.18714 
1482469070, 1640.88, 41.39490, 2.18714 
463164950, 1666.19, 41.39468, 2.18708 
462685387, 2530.07, 41.40245, 2.18710 
462295968, 3429.30, 41.41054, 2.18725 
462685386, 3979.55, 41.41548, 2.18734 
462685385, 4808.06, 41.42293, 2.18688 
1482414591, 4821.96, 41.42287, 2.18673 
421264053, 4824.43, 41.42286, 2.18676 
319613049, 4926.38, 41.42378, 2.18672 
319613050, 5005.39, 41.42448, 2.18657 
421265632, 5029.08, 41.42468, 2.18646 
421265631, 5051.17, 41.42487, 2.18637 
434455783, 5111.70, 41.42538, 2.18614 
421265630, 5131.28, 41.42554, 2.18605 
319613051, 5139.90, 41.42561, 2.18600 
319613052, 5387.72, 41.42761, 2.18468 
420892471, 5437.55, 41.42802, 2.18442 
1117832600, 5515.99, 41.42866, 2.18404 
1017920208, 5523.19, 41.42866, 2.18412 
1312339728, 5538.63, 41.42863, 2.18430 
1139082290, 5725.66, 41.43014, 2.18330 
1138939536, 5727.18, 41.43015, 2.18329 
319631083, 5791.90, 41.43067, 2.18294 
319631084, 5812.25, 41.43085, 2.18289 
319631085, 5845.23, 41.43114, 2.18287 
319631086, 5891.31, 41.43156, 2.18293 
319631088, 6043.84, 41.43290, 2.18329 
415994533, 6453.03, 41.43647, 2.18451 
323188620, 6798.15, 41.43948, 2.18548 
323188590, 6844.64, 41.43989, 2.18562 
317921595, 6888.39, 41.44027, 2.18574 
1120489440, 7213.93, 41.44313, 2.18654 
323168834, 7317.01, 41.44404, 2.18683 
1162558793, 7405.84, 41.44481, 2.18710 
319631021, 7471.42, 41.44538, 2.18727 
319616512, 7613.61, 41.44662, 2.18771 
323159738, 7690.51, 41.44729, 2.18793 
316877778, 7854.95, 41.44873, 2.18842 
815045798, 7907.48, 41.44918, 2.18856 
316877780, 7980.57, 41.44982, 2.18878 
1137594647, 8039.64, 41.45034, 2.18893 
316877781, 8066.31, 41.45058, 2.18899 
1137594545, 8107.05, 41.45094, 2.18906 
316877782, 8145.95, 41.45129, 2.18910 
1137594653, 8185.29, 41.45164, 2.18912 
1137594351, 8222.77, 41.45198, 2.18913 
1137594333, 8255.42, 41.45227, 2.18911 
316877783, 8288.75, 41.45257, 2.18908 
316877785, 8336.70, 41.45300, 2.18903 
1137594815, 8368.07, 41.45328, 2.18905 
1137594461, 8418.37, 41.45373, 2.18900 
318313901, 8465.54, 41.45415, 2.18896 
318313900, 8581.80, 41.45520, 2.18889 
1140085165, 8612.47, 41.45547, 2.18887 
318313899, 8669.28, 41.45598, 2.18881 
318313898, 8737.22, 41.45659, 2.18872 
318313897, 8780.86, 41.45694, 2.18848 
323166481, 8792.35, 41.45703, 2.18841 
318313896, 8831.20, 41.45730, 2.18812 
318313895, 8881.38, 41.45761, 2.18768 
840736526, 8887.89, 41.45765, 2.18762 
318313894, 9022.03, 41.45846, 2.18643 
840736528, 9040.57, 41.45857, 2.18627 
318313893, 9183.89, 41.45941, 2.18496 
1314438187, 9267.22, 41.45992, 2.18423 
1314438188, 9358.61, 41.46054, 2.18350 
318313892, 9369.12, 41.46061, 2.18342 
318313891, 9503.10, 41.46157, 2.18244 
318313890, 9844.62, 41.46419, 2.18032 
1297790647, 9852.90, 41.46426, 2.18027 
318313889, 9990.25, 41.46532, 2.17943 
318313888, 10090.59, 41.46609, 2.17880 
1314439190, 10130.47, 41.46641, 2.17859 
318313902, 10157.57, 41.46663, 2.17845 
318313904, 10173.81, 41.46658, 2.17826 
318313905, 10200.50, 41.46648, 2.17797 
318313907, 10246.60, 41.46629, 2.17748 
1291660019, 10328.78, 41.46588, 2.17666 
1291660031, 10354.29, 41.46580, 2.17637 
1291660034, 10372.81, 41.46576, 2.17616 
1291660026, 10397.85, 41.46570, 2.17587 
1291660036, 10443.05, 41.46558, 2.17535 
1291660046, 10492.01, 41.46546, 2.17478 
1291660039, 10526.12, 41.46540, 2.17438 
1291660028, 10552.86, 41.46535, 2.17407 
1291660044, 10570.07, 41.46535, 2.17386 
1291660040, 10593.77, 41.46535, 2.17358 
1291660050, 10613.08, 41.46537, 2.17335 
1291657312, 10635.88, 41.46544, 2.17309 
318313912, 10687.66, 41.46567, 2.17255 
318313913, 10747.91, 41.46605, 2.17203 
1291657315, 10908.98, 41.46711, 2.17071 
318313914, 11098.02, 41.46835, 2.16916 
318313915, 11173.70, 41.46891, 2.16865 
318313916, 11274.10, 41.46972, 2.16812 
318313917, 11463.85, 41.47126, 2.16713 
1291657314, 11546.16, 41.47193, 2.16671 
