Node ID, Distance (m), Lat, Lon
240949599, 0.00, 41.38334, 2.18177 
240944785, 26.93, 41.38348, 2.18151 
240936347, 40.72, 41.38354, 2.18137 
240936348, 82.86, 41.38357, 2.18086 
30647274, 101.26, 41.38361, 2.18065 
240939090, 106.76, 41.38362, 2.18058 
30647313, 122.53, 41.38365, 2.18040 
240934220, 147.01, 41.38371, 2.18012 
240934857, 172.17, 41.38376, 2.17982 
240936350, 212.19, 41.38384, 2.17935 
240936351, 237.41, 41.38387, 2.17905 
240936353, 254.87, 41.38390, 2.17885 
30227495, 266.49, 41.38397, 2.17875 
209110229, 289.88, 41.38411, 2.17854 
209110228, 323.97, 41.38389, 2.17826 
209110227, 362.15, 41.38364, 2.17794 
30297907, 384.69, 41.38351, 2.17774 
30646194, 424.65, 41.38323, 2.17743 
209057499, 463.04, 41.38299, 2.17710 
209134967, 474.68, 41.38291, 2.17701 
209137015, 518.59, 41.38262, 2.17666 
209057497, 525.96, 41.38256, 2.17661 
30243957, 567.98, 41.38228, 2.17628 
209132794, 588.66, 41.38218, 2.17606 
209132796, 615.16, 41.38212, 2.17576 
1400545466, 620.70, 41.38210, 2.17570 
209132797, 649.14, 41.38190, 2.17549 
30252199, 654.74, 41.38185, 2.17552 
30252198, 676.44, 41.38177, 2.17528 
30252197, 714.95, 41.38165, 2.17485 
30252196, 734.97, 41.38160, 2.17462 
30252195, 778.23, 41.38148, 2.17412 
30252194, 809.28, 41.38138, 2.17378 
194551073, 832.27, 41.38131, 2.17352 
1400723041, 840.72, 41.38138, 2.17348 
1400723040, 842.88, 41.38138, 2.17346 
1400723038, 855.17, 41.38132, 2.17333 
1400723037, 858.14, 41.38131, 2.17330 
546558623, 860.88, 41.38129, 2.17327 
546558620, 868.60, 41.38126, 2.17319 
546558621, 875.07, 41.38122, 2.17313 
544807066, 876.51, 41.38122, 2.17312 
544807062, 879.33, 41.38121, 2.17309 
1400723031, 882.83, 41.38119, 2.17305 
1400723029, 887.41, 41.38118, 2.17300 
1400723032, 890.67, 41.38121, 2.17298 
30227477, 941.79, 41.38099, 2.17244 
30227476, 953.95, 41.38094, 2.17231 
30227475, 963.14, 41.38091, 2.17220 
442537842, 981.51, 41.38088, 2.17199 
30227474, 984.67, 41.38087, 2.17195 
192551166, 988.91, 41.38087, 2.17190 
30227473, 999.42, 41.38085, 2.17178 
30227472, 1031.98, 41.38075, 2.17141 
192082712, 1071.44, 41.38061, 2.17097 
432592964, 1083.68, 41.38057, 2.17084 
30227035, 1087.02, 41.38056, 2.17080 
1514098857, 1126.17, 41.38043, 2.17036 
30227469, 1143.37, 41.38038, 2.17017 
30227468, 1186.72, 41.38024, 2.16969 
30227467, 1235.04, 41.38008, 2.16915 
30227466, 1263.51, 41.38000, 2.16882 
30227465, 1300.78, 41.37987, 2.16842 
96429480, 1324.61, 41.37966, 2.16833 
30227464, 1337.39, 41.37965, 2.16818 
96429481, 1347.61, 41.37959, 2.16808 
30227463, 1371.23, 41.37970, 2.16784 
30227462, 1391.59, 41.37964, 2.16760 
30227461, 1408.05, 41.37959, 2.16742 
30227460, 1422.23, 41.37957, 2.16725 
1400544019, 1438.37, 41.37955, 2.16706 
1400544018, 1466.62, 41.37952, 2.16672 
30884292, 1494.72, 41.37950, 2.16639 
30227456, 1533.84, 41.37949, 2.16592 
30227454, 1573.63, 41.37936, 2.16548 
30227453, 1608.94, 41.37923, 2.16509 
30227452, 1638.62, 41.37914, 2.16476 
30227451, 1678.31, 41.37903, 2.16430 
30227450, 1718.38, 41.37890, 2.16385 
