Node ID: 240949599,  Distance: 0.00 m
Node ID: 240944785,  Distance: 26.93 m
Node ID: 240936347,  Distance: 40.72 m
Node ID: 240936348,  Distance: 82.86 m
Node ID: 30647274,  Distance: 101.26 m
Node ID: 240939090,  Distance: 106.76 m
Node ID: 30647313,  Distance: 122.53 m
Node ID: 240934220,  Distance: 147.01 m
Node ID: 240934857,  Distance: 172.17 m
Node ID: 240936350,  Distance: 212.19 m
Node ID: 240936351,  Distance: 237.41 m
Node ID: 240936353,  Distance: 254.87 m
Node ID: 30227495,  Distance: 266.49 m
Node ID: 209110229,  Distance: 289.88 m
Node ID: 209110228,  Distance: 323.97 m
Node ID: 209110227,  Distance: 362.15 m
Node ID: 30297907,  Distance: 384.69 m
Node ID: 30646194,  Distance: 424.65 m
Node ID: 209057499,  Distance: 463.04 m
Node ID: 209134967,  Distance: 474.68 m
Node ID: 209137015,  Distance: 518.59 m
Node ID: 209057497,  Distance: 525.96 m
Node ID: 30243957,  Distance: 567.98 m
Node ID: 209132794,  Distance: 588.66 m
Node ID: 209132796,  Distance: 615.16 m
Node ID: 1400545466,  Distance: 620.70 m
Node ID: 209132797,  Distance: 649.14 m
Node ID: 30252199,  Distance: 654.74 m
Node ID: 30252198,  Distance: 676.44 m
Node ID: 30252197,  Distance: 714.95 m
Node ID: 30252196,  Distance: 734.97 m
Node ID: 30252195,  Distance: 778.23 m
Node ID: 30252194,  Distance: 809.28 m
Node ID: 194551073,  Distance: 832.27 m
Node ID: 1400723041,  Distance: 840.72 m
Node ID: 1400723040,  Distance: 842.88 m
Node ID: 1400723038,  Distance: 855.17 m
Node ID: 1400723037,  Distance: 858.14 m
Node ID: 546558623,  Distance: 860.88 m
Node ID: 546558620,  Distance: 868.60 m
Node ID: 546558621,  Distance: 875.07 m
Node ID: 544807066,  Distance: 876.51 m
Node ID: 544807062,  Distance: 879.33 m
Node ID: 1400723031,  Distance: 882.83 m
Node ID: 1400723029,  Distance: 887.41 m
Node ID: 1400723032,  Distance: 890.67 m
Node ID: 30227477,  Distance: 941.79 m
Node ID: 30227476,  Distance: 953.95 m
Node ID: 30227475,  Distance: 963.14 m
Node ID: 442537842,  Distance: 981.51 m
Node ID: 30227474,  Distance: 984.67 m
Node ID: 192551166,  Distance: 988.91 m
Node ID: 30227473,  Distance: 999.42 m
Node ID: 30227472,  Distance: 1031.98 m
Node ID: 192082712,  Distance: 1071.44 m
Node ID: 432592964,  Distance: 1083.68 m
Node ID: 30227035,  Distance: 1087.02 m
Node ID: 1514098857,  Distance: 1126.17 m
Node ID: 30227469,  Distance: 1143.37 m
Node ID: 30227468,  Distance: 1186.72 m
Node ID: 30227467,  Distance: 1235.04 m
Node ID: 30227466,  Distance: 1263.51 m
Node ID: 30227465,  Distance: 1300.78 m
Node ID: 96429480,  Distance: 1324.61 m
Node ID: 30227464,  Distance: 1337.39 m
Node ID: 96429481,  Distance: 1347.61 m
Node ID: 30227463,  Distance: 1371.23 m
Node ID: 30227462,  Distance: 1391.59 m
Node ID: 30227461,  Distance: 1408.05 m
Node ID: 30227460,  Distance: 1422.23 m
Node ID: 1400544019,  Distance: 1438.37 m
Node ID: 1400544018,  Distance: 1466.62 m
Node ID: 30884292,  Distance: 1494.72 m
Node ID: 30227456,  Distance: 1533.84 m
Node ID: 30227454,  Distance: 1573.63 m
Node ID: 30227453,  Distance: 1608.94 m
Node ID: 30227452,  Distance: 1638.62 m
Node ID: 30227451,  Distance: 1678.31 m
Node ID: 30227450,  Distance: 1718.38 m
Node ID: 30227449,  Distance: 1759.24 m
Node ID: 30227448,  Distance: 1781.19 m
Node ID: 1043786412,  Distance: 1783.13 m
Node ID: 30238199,  Distance: 1915.42 m
Node ID: 30238198,  Distance: 2047.51 m
Node ID: 30238197,  Distance: 2185.29 m
Node ID: 905811229,  Distance: 2302.04 m
Node ID: 905811222,  Distance: 2326.05 m
Node ID: 905811223,  Distance: 2352.27 m
Node ID: 905811221,  Distance: 2354.12 m
Node ID: 903233267,  Distance: 2516.32 m
Node ID: 30246866,  Distance: 2542.34 m
Node ID: 626135660,  Distance: 2707.62 m
Node ID: 30298842,  Distance: 2733.27 m
Node ID: 899314386,  Distance: 2889.85 m
Node ID: 899314388,  Distance: 2920.75 m
Node ID: 771231969,  Distance: 3060.46 m
Node ID: 26057048,  Distance: 3094.13 m
Node ID: 803435598,  Distance: 3109.76 m
Node ID: 1193548822,  Distance: 3117.44 m
Node ID: 71710025,  Distance: 3125.29 m
Node ID: 1193548807,  Distance: 3133.08 m
Node ID: 26057052,  Distance: 3139.80 m
Node ID: 534633415,  Distance: 3145.12 m
